Source,Target,Type,Id,Label,timeset,Weight
1Whistleblowers,ALLREDToDoRoJo,Undirected,0,,,2
1Whistleblowers,Allchanges,Undirected,1,,,2
1Whistleblowers,BABIDOLL301,Undirected,2,,,2
1Whistleblowers,BJ_Gardener,Undirected,3,,,2
1Whistleblowers,Byline_Media,Undirected,4,,,2
1Whistleblowers,CloeteHeather,Undirected,5,,,2
1Whistleblowers,DK_SocialMedia,Undirected,6,,,2
1Whistleblowers,DennisKoch10,Undirected,7,,,2
1Whistleblowers,EuropeFife,Undirected,8,,,2
1Whistleblowers,FutureAcid,Undirected,9,,,2
1Whistleblowers,GadflyMorse,Undirected,10,,,2
1Whistleblowers,GamerGeekNews,Undirected,11,,,2
1Whistleblowers,GeekInfoNow,Undirected,12,,,2
1Whistleblowers,Georgekurian4K,Undirected,13,,,2
1Whistleblowers,Gordon1000,Undirected,14,,,2
1Whistleblowers,HamsterBiscuit,Undirected,15,,,2
1Whistleblowers,IParkerSterling,Undirected,16,,,2
1Whistleblowers,ImIncorrigible,Undirected,17,,,2
1Whistleblowers,JoRichardsKent,Undirected,18,,,2
1Whistleblowers,KimOrtega3,Undirected,19,,,2
1Whistleblowers,Kostian_V,Undirected,20,,,2
1Whistleblowers,Lars9596,Undirected,21,,,2
1Whistleblowers,LaughingSmurf,Undirected,22,,,2
1Whistleblowers,Lifelandlady,Undirected,23,,,2
1Whistleblowers,LindenLyn,Undirected,24,,,2
1Whistleblowers,Living4Earth,Undirected,25,,,2
1Whistleblowers,MJRowe2,Undirected,26,,,2
1Whistleblowers,MadeinMenlo,Undirected,27,,,2
1Whistleblowers,MikeMol1982,Undirected,28,,,2
1Whistleblowers,NealSchaffer,Undirected,29,,,2
1Whistleblowers,RANTER_DAD,Undirected,30,,,2
1Whistleblowers,RedApplePol,Undirected,31,,,2
1Whistleblowers,SandraDunn1955,Undirected,32,,,2
1Whistleblowers,SheronWilkie,Undirected,33,,,2
1Whistleblowers,Staircase2,Undirected,34,,,2
1Whistleblowers,SueNieland,Undirected,35,,,2
1Whistleblowers,TheStephenRalph,Undirected,36,,,2
1Whistleblowers,TopTickrs,Undirected,37,,,2
1Whistleblowers,TracevaToons,Undirected,38,,,2
1Whistleblowers,UniversalCull,Undirected,39,,,2
1Whistleblowers,WTBDavidG,Undirected,40,,,2
1Whistleblowers,WomenSaveUSA,Undirected,41,,,2
1Whistleblowers,Xtechnews,Undirected,42,,,2
1Whistleblowers,aev1609,Undirected,43,,,2
1Whistleblowers,andwarn,Undirected,44,,,2
1Whistleblowers,bcomininvisible,Undirected,45,,,2
1Whistleblowers,billm9,Undirected,46,,,2
1Whistleblowers,catherinemginn,Undirected,47,,,2
1Whistleblowers,chickwerner,Undirected,48,,,2
1Whistleblowers,clucknsquawk,Undirected,49,,,2
1Whistleblowers,curiocat13,Undirected,50,,,2
1Whistleblowers,dancharvey,Undirected,51,,,2
1Whistleblowers,ectcyberhipaa,Undirected,52,,,2
1Whistleblowers,eezypeezy,Undirected,53,,,2
1Whistleblowers,esme_hornbeam,Undirected,54,,,2
1Whistleblowers,fwdcrocblu,Undirected,55,,,2
1Whistleblowers,gdtrble,Undirected,56,,,2
1Whistleblowers,golfndadblogger,Undirected,57,,,2
1Whistleblowers,ironstowe,Undirected,58,,,2
1Whistleblowers,jaskolka_b,Undirected,59,,,2
1Whistleblowers,jeffdavisshow,Undirected,60,,,2
1Whistleblowers,jftaveira1993,Undirected,61,,,2
1Whistleblowers,jo55adams,Undirected,62,,,2
1Whistleblowers,keesfiere485,Undirected,63,,,2
1Whistleblowers,keithpp,Undirected,64,,,2
1Whistleblowers,lauraMcc1422,Undirected,65,,,2
1Whistleblowers,laxman_xy,Undirected,66,,,2
1Whistleblowers,lopcute,Undirected,67,,,2
1Whistleblowers,lovetogive2,Undirected,68,,,2
1Whistleblowers,lunaperla,Undirected,69,,,2
1Whistleblowers,magicdmw,Undirected,70,,,2
1Whistleblowers,marcylauren,Undirected,71,,,2
1Whistleblowers,margo94,Undirected,72,,,2
1Whistleblowers,masoodalam51,Undirected,73,,,2
1Whistleblowers,mauriceg88,Undirected,74,,,2
1Whistleblowers,mikeymikedoha,Undirected,75,,,2
1Whistleblowers,mog7546,Undirected,76,,,2
1Whistleblowers,northwind1ndn,Undirected,77,,,2
1Whistleblowers,onlyconnect71,Undirected,78,,,2
1Whistleblowers,owlbelief,Undirected,79,,,2
1Whistleblowers,peterjukes,Undirected,80,,,2
1Whistleblowers,profcarroll,Undirected,81,,,2
1Whistleblowers,robinsnewswire,Undirected,82,,,2
1Whistleblowers,roblwilson,Undirected,83,,,2
1Whistleblowers,sbuchbinder,Undirected,84,,,2
1Whistleblowers,schestowitz,Undirected,85,,,2
1Whistleblowers,sectest9,Undirected,86,,,2
1Whistleblowers,sharpeleven,Undirected,87,,,2
1Whistleblowers,shirleymcbrinn,Undirected,88,,,2
1Whistleblowers,simpletechman,Undirected,89,,,2
1Whistleblowers,suegray834,Undirected,90,,,2
1Whistleblowers,tek_news,Undirected,91,,,2
1Whistleblowers,tryNiceBot,Undirected,92,,,2
1Whistleblowers,votegate,Undirected,93,,,2
1Whistleblowers,zuluzim909,Undirected,94,,,2
ALLREDToDoRoJo,Allchanges,Undirected,96,,,2
ALLREDToDoRoJo,BABIDOLL301,Undirected,97,,,2
ALLREDToDoRoJo,BJ_Gardener,Undirected,98,,,2
ALLREDToDoRoJo,Byline_Media,Undirected,99,,,2
ALLREDToDoRoJo,CloeteHeather,Undirected,100,,,2
ALLREDToDoRoJo,DK_SocialMedia,Undirected,101,,,2
ALLREDToDoRoJo,DennisKoch10,Undirected,102,,,2
ALLREDToDoRoJo,EuropeFife,Undirected,103,,,2
ALLREDToDoRoJo,FutureAcid,Undirected,104,,,2
ALLREDToDoRoJo,GadflyMorse,Undirected,105,,,2
ALLREDToDoRoJo,GamerGeekNews,Undirected,106,,,2
ALLREDToDoRoJo,GeekInfoNow,Undirected,107,,,2
ALLREDToDoRoJo,Georgekurian4K,Undirected,108,,,2
ALLREDToDoRoJo,Gordon1000,Undirected,109,,,2
ALLREDToDoRoJo,HamsterBiscuit,Undirected,110,,,2
ALLREDToDoRoJo,IParkerSterling,Undirected,111,,,2
ALLREDToDoRoJo,ImIncorrigible,Undirected,112,,,2
ALLREDToDoRoJo,JoRichardsKent,Undirected,113,,,2
ALLREDToDoRoJo,KimOrtega3,Undirected,114,,,2
ALLREDToDoRoJo,Kostian_V,Undirected,115,,,2
ALLREDToDoRoJo,Lars9596,Undirected,116,,,2
ALLREDToDoRoJo,LaughingSmurf,Undirected,117,,,2
ALLREDToDoRoJo,Lifelandlady,Undirected,118,,,2
ALLREDToDoRoJo,LindenLyn,Undirected,119,,,2
ALLREDToDoRoJo,Living4Earth,Undirected,120,,,2
ALLREDToDoRoJo,MJRowe2,Undirected,121,,,2
ALLREDToDoRoJo,MadeinMenlo,Undirected,122,,,2
ALLREDToDoRoJo,MikeMol1982,Undirected,123,,,2
ALLREDToDoRoJo,NealSchaffer,Undirected,124,,,2
ALLREDToDoRoJo,RANTER_DAD,Undirected,125,,,2
ALLREDToDoRoJo,RedApplePol,Undirected,126,,,2
ALLREDToDoRoJo,SandraDunn1955,Undirected,127,,,2
ALLREDToDoRoJo,SheronWilkie,Undirected,128,,,2
ALLREDToDoRoJo,Staircase2,Undirected,129,,,2
ALLREDToDoRoJo,SueNieland,Undirected,130,,,2
ALLREDToDoRoJo,TheStephenRalph,Undirected,131,,,2
ALLREDToDoRoJo,TopTickrs,Undirected,132,,,2
ALLREDToDoRoJo,TracevaToons,Undirected,133,,,2
ALLREDToDoRoJo,UniversalCull,Undirected,134,,,2
ALLREDToDoRoJo,WTBDavidG,Undirected,135,,,2
ALLREDToDoRoJo,WomenSaveUSA,Undirected,136,,,2
ALLREDToDoRoJo,Xtechnews,Undirected,137,,,2
ALLREDToDoRoJo,aev1609,Undirected,138,,,2
ALLREDToDoRoJo,andwarn,Undirected,139,,,2
ALLREDToDoRoJo,bcomininvisible,Undirected,140,,,2
ALLREDToDoRoJo,billm9,Undirected,141,,,2
ALLREDToDoRoJo,catherinemginn,Undirected,142,,,2
