Id,Label,timeset,modularity_class
1Whistleblowers,,,1
ALLREDToDoRoJo,,,6
Allchanges,,,6
BABIDOLL301,,,1
BJ_Gardener,,,6
Byline_Media,,,7
CloeteHeather,,,3
DK_SocialMedia,,,1
DennisKoch10,,,1
EuropeFife,,,6
FutureAcid,,,6
GamerGeekNews,,,1
GeekInfoNow,,,1
Georgekurian4K,,,1
Gordon1000,,,6
HamsterBiscuit,,,6
IParkerSterling,,,1
ImIncorrigible,,,1
JoRichardsKent,,,4
KimOrtega3,,,2
Kostian_V,,,1
Lars9596,,,1
LaughingSmurf,,,6
Lifelandlady,,,1
LindenLyn,,,1
Living4Earth,,,6
MJRowe2,,,1
MadeinMenlo,,,1
MikeMol1982,,,1
NealSchaffer,,,1
RANTER_DAD,,,6
RedApplePol,,,6
SandraDunn1955,,,6
SheronWilkie,,,6
Staircase2,,,6
SueNieland,,,1
TheStephenRalph,,,7
TopTickrs,,,6
TracevaToons,,,1
UniversalCull,,,3
WTBDavidG,,,5
Xtechnews,,,1
aev1609,,,6
andwarn,,,6
bcomininvisible,,,1
billm9,,,1
catherinemginn,,,4
chickwerner,,,1
clucknsquawk,,,6
curiocat13,,,5
dancharvey,,,1
ectcyberhipaa,,,1
eezypeezy,,,1
fwdcrocblu,,,6
gdtrble,,,1
golfndadblogger,,,6
ironstowe,,,1
jaskolka_b,,,6
jeffdavisshow,,,1
jftaveira1993,,,6
jo55adams,,,6
keesfiere485,,,1
keithpp,,,1
lauraMcc1422,,,6
laxman_xy,,,1
lopcute,,,6
lovetogive2,,,1
lunaperla,,,1
magicdmw,,,6
marcylauren,,,6
margo94,,,1
masoodalam51,,,1
mauriceg88,,,1
mikeymikedoha,,,6
mog7546,,,6
northwind1ndn,,,6
onlyconnect71,,,6
owlbelief,,,6
peterjukes,,,1
profcarroll,,,6
robinsnewswire,,,1
roblwilson,,,6
sbuchbinder,,,6
schestowitz,,,2
sectest9,,,1
sharpeleven,,,1
shirleymcbrinn,,,1
simpletechman,,,1
suegray834,,,6
tek_news,,,1
tryNiceBot,,,1
votegate,,,6
zuluzim909,,,6
GadflyMorse,,,6
esme_hornbeam,,,6
NewsFB,,,0
VEXRadio,,,0
WomenSaveUSA,,,6
hashMoreChat,,,0
jacky_mfon,,,0
