Source,Target,Type,Id,Label,timeset,Weight
1Whistleblowers,ALLREDToDoRoJo,Undirected,9156,,,2
1Whistleblowers,Allchanges,Undirected,9157,,,2
1Whistleblowers,BABIDOLL301,Undirected,9158,,,2
1Whistleblowers,BJ_Gardener,Undirected,9159,,,2
1Whistleblowers,Byline_Media,Undirected,9160,,,2
1Whistleblowers,CloeteHeather,Undirected,9161,,,2
1Whistleblowers,DK_SocialMedia,Undirected,9162,,,2
1Whistleblowers,DennisKoch10,Undirected,9163,,,2
1Whistleblowers,EuropeFife,Undirected,9164,,,2
1Whistleblowers,FutureAcid,Undirected,9165,,,2
1Whistleblowers,GamerGeekNews,Undirected,9166,,,2
1Whistleblowers,GeekInfoNow,Undirected,9167,,,2
1Whistleblowers,Georgekurian4K,Undirected,9168,,,2
1Whistleblowers,Gordon1000,Undirected,9169,,,2
1Whistleblowers,HamsterBiscuit,Undirected,9170,,,2
1Whistleblowers,IParkerSterling,Undirected,9171,,,2
1Whistleblowers,ImIncorrigible,Undirected,9172,,,2
1Whistleblowers,JoRichardsKent,Undirected,9173,,,2
1Whistleblowers,KimOrtega3,Undirected,9174,,,2
1Whistleblowers,Kostian_V,Undirected,9175,,,2
1Whistleblowers,Lars9596,Undirected,9176,,,2
1Whistleblowers,LaughingSmurf,Undirected,9177,,,2
1Whistleblowers,Lifelandlady,Undirected,9178,,,2
1Whistleblowers,LindenLyn,Undirected,9179,,,2
1Whistleblowers,Living4Earth,Undirected,9180,,,2
1Whistleblowers,MJRowe2,Undirected,9181,,,2
1Whistleblowers,MadeinMenlo,Undirected,9182,,,2
1Whistleblowers,MikeMol1982,Undirected,9183,,,2
1Whistleblowers,NealSchaffer,Undirected,9184,,,2
1Whistleblowers,RANTER_DAD,Undirected,9185,,,2
1Whistleblowers,RedApplePol,Undirected,9186,,,2
1Whistleblowers,SandraDunn1955,Undirected,9187,,,2
1Whistleblowers,SheronWilkie,Undirected,9188,,,2
1Whistleblowers,Staircase2,Undirected,9189,,,2
1Whistleblowers,SueNieland,Undirected,9190,,,2
1Whistleblowers,TheStephenRalph,Undirected,9191,,,2
1Whistleblowers,TopTickrs,Undirected,9192,,,2
1Whistleblowers,TracevaToons,Undirected,9193,,,2
1Whistleblowers,UniversalCull,Undirected,9194,,,2
1Whistleblowers,WTBDavidG,Undirected,9195,,,2
1Whistleblowers,Xtechnews,Undirected,9196,,,2
1Whistleblowers,aev1609,Undirected,9197,,,2
1Whistleblowers,andwarn,Undirected,9198,,,2
1Whistleblowers,bcomininvisible,Undirected,9199,,,2
1Whistleblowers,billm9,Undirected,9200,,,2
1Whistleblowers,catherinemginn,Undirected,9201,,,2
1Whistleblowers,chickwerner,Undirected,9202,,,2
1Whistleblowers,clucknsquawk,Undirected,9203,,,2
1Whistleblowers,curiocat13,Undirected,9204,,,2
1Whistleblowers,dancharvey,Undirected,9205,,,2
1Whistleblowers,ectcyberhipaa,Undirected,9206,,,2
1Whistleblowers,eezypeezy,Undirected,9207,,,2
1Whistleblowers,fwdcrocblu,Undirected,9208,,,2
1Whistleblowers,gdtrble,Undirected,9209,,,2
1Whistleblowers,golfndadblogger,Undirected,9210,,,2
1Whistleblowers,ironstowe,Undirected,9211,,,2
1Whistleblowers,jaskolka_b,Undirected,9212,,,2
1Whistleblowers,jeffdavisshow,Undirected,9213,,,2
1Whistleblowers,jftaveira1993,Undirected,9214,,,2
1Whistleblowers,jo55adams,Undirected,9215,,,2
1Whistleblowers,keesfiere485,Undirected,9216,,,2
1Whistleblowers,keithpp,Undirected,9217,,,2
1Whistleblowers,lauraMcc1422,Undirected,9218,,,2
1Whistleblowers,laxman_xy,Undirected,9219,,,2
1Whistleblowers,lopcute,Undirected,9220,,,2
1Whistleblowers,lovetogive2,Undirected,9221,,,2
1Whistleblowers,lunaperla,Undirected,9222,,,2
1Whistleblowers,magicdmw,Undirected,9223,,,2
1Whistleblowers,marcylauren,Undirected,9224,,,2
1Whistleblowers,margo94,Undirected,9225,,,2
1Whistleblowers,masoodalam51,Undirected,9226,,,2
1Whistleblowers,mauriceg88,Undirected,9227,,,2
1Whistleblowers,mikeymikedoha,Undirected,9228,,,2
1Whistleblowers,mog7546,Undirected,9229,,,2
1Whistleblowers,northwind1ndn,Undirected,9230,,,2
1Whistleblowers,onlyconnect71,Undirected,9231,,,2
1Whistleblowers,owlbelief,Undirected,9232,,,2
1Whistleblowers,peterjukes,Undirected,9233,,,2
1Whistleblowers,profcarroll,Undirected,9234,,,2
1Whistleblowers,robinsnewswire,Undirected,9235,,,2
1Whistleblowers,roblwilson,Undirected,9236,,,2
1Whistleblowers,sbuchbinder,Undirected,9237,,,2
1Whistleblowers,schestowitz,Undirected,9238,,,2
1Whistleblowers,sectest9,Undirected,9239,,,2
1Whistleblowers,sharpeleven,Undirected,9240,,,2
1Whistleblowers,shirleymcbrinn,Undirected,9241,,,2
1Whistleblowers,simpletechman,Undirected,9242,,,2
1Whistleblowers,suegray834,Undirected,9243,,,2
1Whistleblowers,tek_news,Undirected,9244,,,2
1Whistleblowers,tryNiceBot,Undirected,9245,,,2
1Whistleblowers,votegate,Undirected,9246,,,2
1Whistleblowers,zuluzim909,Undirected,9247,,,2
ALLREDToDoRoJo,Allchanges,Undirected,9249,,,2
ALLREDToDoRoJo,BJ_Gardener,Undirected,9250,,,2
ALLREDToDoRoJo,Byline_Media,Undirected,9251,,,2
ALLREDToDoRoJo,CloeteHeather,Undirected,9252,,,2
ALLREDToDoRoJo,DK_SocialMedia,Undirected,9253,,,2
ALLREDToDoRoJo,DennisKoch10,Undirected,9254,,,2
ALLREDToDoRoJo,EuropeFife,Undirected,9255,,,2
ALLREDToDoRoJo,FutureAcid,Undirected,9256,,,2
ALLREDToDoRoJo,GadflyMorse,Undirected,9257,,,2
ALLREDToDoRoJo,GamerGeekNews,Undirected,9258,,,2
ALLREDToDoRoJo,GeekInfoNow,Undirected,9259,,,2
ALLREDToDoRoJo,Georgekurian4K,Undirected,9260,,,2
ALLREDToDoRoJo,Gordon1000,Undirected,9261,,,2
ALLREDToDoRoJo,HamsterBiscuit,Undirected,9262,,,2
ALLREDToDoRoJo,IParkerSterling,Undirected,9263,,,2
ALLREDToDoRoJo,ImIncorrigible,Undirected,9264,,,2
ALLREDToDoRoJo,JoRichardsKent,Undirected,9265,,,2
ALLREDToDoRoJo,KimOrtega3,Undirected,9266,,,2
ALLREDToDoRoJo,Kostian_V,Undirected,9267,,,2
ALLREDToDoRoJo,Lars9596,Undirected,9268,,,2
ALLREDToDoRoJo,LaughingSmurf,Undirected,9269,,,2
ALLREDToDoRoJo,Lifelandlady,Undirected,9270,,,2
ALLREDToDoRoJo,LindenLyn,Undirected,9271,,,2
ALLREDToDoRoJo,Living4Earth,Undirected,9272,,,2
ALLREDToDoRoJo,MJRowe2,Undirected,9273,,,2
ALLREDToDoRoJo,MadeinMenlo,Undirected,9274,,,2
ALLREDToDoRoJo,MikeMol1982,Undirected,9275,,,2
ALLREDToDoRoJo,NealSchaffer,Undirected,9276,,,2
ALLREDToDoRoJo,RANTER_DAD,Undirected,9277,,,2
ALLREDToDoRoJo,RedApplePol,Undirected,9278,,,2
ALLREDToDoRoJo,SandraDunn1955,Undirected,9279,,,2
ALLREDToDoRoJo,SheronWilkie,Undirected,9280,,,2
ALLREDToDoRoJo,Staircase2,Undirected,9281,,,2
ALLREDToDoRoJo,SueNieland,Undirected,9282,,,2
ALLREDToDoRoJo,TheStephenRalph,Undirected,9283,,,2
ALLREDToDoRoJo,TopTickrs,Undirected,9284,,,2
ALLREDToDoRoJo,TracevaToons,Undirected,9285,,,2
ALLREDToDoRoJo,UniversalCull,Undirected,9286,,,2
ALLREDToDoRoJo,WTBDavidG,Undirected,9287,,,2
ALLREDToDoRoJo,Xtechnews,Undirected,9288,,,2
ALLREDToDoRoJo,aev1609,Undirected,9289,,,2
ALLREDToDoRoJo,andwarn,Undirected,9290,,,2
ALLREDToDoRoJo,bcomininvisible,Undirected,9291,,,2
ALLREDToDoRoJo,billm9,Undirected,9292,,,2
ALLREDToDoRoJo,catherinemginn,Undirected,9293,,,2
ALLREDToDoRoJo,chickwerner,Undirected,9294,,,2
ALLREDToDoRoJo,clucknsquawk,Undirected,9295,,,2
ALLREDToDoRoJo,curiocat13,Undirected,9296,,,2
ALLREDToDoRoJo,dancharvey,Undirected,9297,,,2
ALLREDToDoRoJo,ectcyberhipaa,Undirected,9298,,,2
ALLREDToDoRoJo,eezypeezy,Undirected,9299,,,2
ALLREDToDoRoJo,esme_hornbeam,Undirected,9300,,,2
ALLREDToDoRoJo,fwdcrocblu,Undirected,9301,,,2
ALLREDToDoRoJo,gdtrble,Undirected,9302,,,2
ALLREDToDoRoJo,golfndadblogger,Undirected,9303,,,2
ALLREDToDoRoJo,ironstowe,Undirected,9304,,,2
ALLREDToDoRoJo,jaskolka_b,Undirected,9305,,,2
ALLREDToDoRoJo,jeffdavisshow,Undirected,9306,,,2
ALLREDToDoRoJo,jftaveira1993,Undirected,9307,,,2
ALLREDToDoRoJo,jo55adams,Undirected,9308,,,2
ALLREDToDoRoJo,keesfiere485,Undirected,9309,,,2
ALLREDToDoRoJo,keithpp,Undirected,9310,,,2
ALLREDToDoRoJo,lauraMcc1422,Undirected,9311,,,2
ALLREDToDoRoJo,laxman_xy,Undirected,9312,,,2
ALLREDToDoRoJo,lopcute,Undirected,9313,,,2
ALLREDToDoRoJo,lovetogive2,Undirected,9314,,,2
ALLREDToDoRoJo,lunaperla,Undirected,9315,,,2
ALLREDToDoRoJo,magicdmw,Undirected,9316,,,2
ALLREDToDoRoJo,marcylauren,Undirected,9317,,,2
ALLREDToDoRoJo,margo94,Undirected,9318,,,2
ALLREDToDoRoJo,masoodalam51,Undirected,9319,,,2
ALLREDToDoRoJo,mauriceg88,Undirected,9320,,,2
ALLREDToDoRoJo,mikeymikedoha,Undirected,9321,,,2
ALLREDToDoRoJo,mog7546,Undirected,9322,,,2
ALLREDToDoRoJo,northwind1ndn,Undirected,9323,,,2
ALLREDToDoRoJo,onlyconnect71,Undirected,9324,,,2
ALLREDToDoRoJo,owlbelief,Undirected,9325,,,2
ALLREDToDoRoJo,peterjukes,Undirected,9326,,,2
ALLREDToDoRoJo,profcarroll,Undirected,9327,,,2
ALLREDToDoRoJo,robinsnewswire,Undirected,9328,,,2
ALLREDToDoRoJo,roblwilson,Undirected,9329,,,2
ALLREDToDoRoJo,sbuchbinder,Undirected,9330,,,2
ALLREDToDoRoJo,schestowitz,Undirected,9331,,,2
ALLREDToDoRoJo,sectest9,Undirected,9332,,,2
ALLREDToDoRoJo,sharpeleven,Undirected,9333,,,2
ALLREDToDoRoJo,shirleymcbrinn,Undirected,9334,,,2
ALLREDToDoRoJo,simpletechman,Undirected,9335,,,2
ALLREDToDoRoJo,suegray834,Undirected,9336,,,2
ALLREDToDoRoJo,tek_news,Undirected,9337,,,2
ALLREDToDoRoJo,tryNiceBot,Undirected,9338,,,2
ALLREDToDoRoJo,votegate,Undirected,9339,,,2
ALLREDToDoRoJo,zuluzim909,Undirected,9340,,,2
Allchanges,BJ_Gardener,Undirected,9343,,,2
Allchanges,Byline_Media,Undirected,9344,,,2
Allchanges,CloeteHeather,Undirected,9345,,,2
Allchanges,DK_SocialMedia,Undirected,9346,,,2
Allchanges,DennisKoch10,Undirected,9347,,,2
Allchanges,EuropeFife,Undirected,9348,,,2
Allchanges,FutureAcid,Undirected,9349,,,2
Allchanges,GadflyMorse,Undirected,9350,,,2
Allchanges,GamerGeekNews,Undirected,9351,,,2
Allchanges,GeekInfoNow,Undirected,9352,,,2
Allchanges,Georgekurian4K,Undirected,9353,,,2
Allchanges,Gordon1000,Undirected,9354,,,2
Allchanges,HamsterBiscuit,Undirected,9355,,,2
Allchanges,IParkerSterling,Undirected,9356,,,2
Allchanges,ImIncorrigible,Undirected,9357,,,2
Allchanges,JoRichardsKent,Undirected,9358,,,2
Allchanges,KimOrtega3,Undirected,9359,,,2
Allchanges,Kostian_V,Undirected,9360,,,2
Allchanges,Lars9596,Undirected,9361,,,2
Allchanges,LaughingSmurf,Undirected,9362,,,2
Allchanges,Lifelandlady,Undirected,9363,,,2
Allchanges,LindenLyn,Undirected,9364,,,2
Allchanges,Living4Earth,Undirected,9365,,,2
Allchanges,MJRowe2,Undirected,9366,,,2
Allchanges,MadeinMenlo,Undirected,9367,,,2
Allchanges,MikeMol1982,Undirected,9368,,,2
Allchanges,NealSchaffer,Undirected,9369,,,2
Allchanges,RANTER_DAD,Undirected,9370,,,2
Allchanges,RedApplePol,Undirected,9371,,,2
Allchanges,SandraDunn1955,Undirected,9372,,,2
